High attention,Random,Matched random
-0.07365,-0.22609,-0.12139
-0.06262999999999996,-0.1491,-0.12825999999999993
-0.08067000000000002,-0.3247,-0.03871999999999998
-0.08860999999999997,-0.26169,-0.14595999999999998
-0.09074000000000004,-0.31179999999999997,-0.11719000000000002
-0.060759999999999925,-0.028510000000000035,-0.02790999999999999
-0.04186999999999996,-0.017279999999999962,-0.019019999999999926
-0.06479999999999997,-0.08494999999999997,-0.01757999999999993
-0.04628999999999994,-0.07782,-0.029649999999999954
-0.05508999999999997,0.0038200000000000456,-0.025560000000000027
-0.41895000000000004,-0.010929999999999995,-0.48825
-0.40900000000000003,-0.009979999999999989,-0.18847000000000003
-0.40386999999999995,-0.06633,-0.15237
-0.41147,-0.00759999999999994,-0.18009999999999993
-0.39635999999999993,-0.06535999999999997,-0.5075399999999999
-0.18122000000000005,-0.21404999999999996,-0.041630000000000056
-0.17057,-0.22282999999999997,-0.044479999999999964
-0.2116,-0.25881999999999994,-0.04003000000000001
-0.19262999999999997,-0.23324,-0.06011999999999995
-0.18114999999999992,-0.054790000000000005,-0.046049999999999924
-0.09986000000000006,-0.015490000000000004,-0.07828999999999997
-0.30982,-0.016220000000000012,-0.06509000000000009
-0.27742999999999995,-0.00544,-0.07708000000000004
-0.39252999999999993,-0.0031999999999999806,-0.10670999999999997
-0.35709,0.010060000000000069,-0.07047000000000003
-0.38756,-0.10057000000000005,-0.06886999999999999
-0.35462000000000005,-0.11795,-0.06973000000000007
-0.42884,-0.07682,-0.06670999999999994
-0.38315,-0.10258,-0.07665999999999995
-0.32208000000000003,-0.17794,-0.07543999999999995
-0.02188000000000001,-0.04613999999999996,-0.10453999999999997
-0.020610000000000017,-0.05720999999999998,-0.03520000000000001
-0.021660000000000013,-0.02473000000000003,-0.09445999999999999
-0.03593000000000002,-0.036150000000000015,-0.033239999999999936
-0.01878000000000002,-0.0017399999999999638,-0.09316000000000002
-0.40153999999999995,-0.11317999999999995,-0.19674999999999998
-0.46952,-0.17593999999999999,-0.19361000000000006
-0.44769,-0.1926,-0.22832999999999992
-0.5963700000000001,-0.15346000000000004,-0.21921999999999997
-0.40087,-0.21345999999999998,-0.19182
-0.23106000000000004,0.08532000000000006,-0.03239000000000003
-0.21582999999999997,0.07596999999999998,-0.04637999999999998
-0.24801000000000006,0.08362000000000003,-0.06083000000000005
-0.24632999999999994,0.08075999999999994,-0.05487999999999993
-0.17996,0.10107,-0.04959000000000002
-0.5872299999999999,-0.09441,-0.011819999999999942
-0.5897399999999999,-0.10912,0.021480000000000055
-0.62923,-0.04271999999999998,-0.014000000000000012
-0.6573599999999999,-0.008900000000000019,-0.006079999999999974
-0.64254,-0.0006899999999999684,0.0013100000000000334
-0.5551299999999999,-0.052100000000000035,-0.05889
-0.58153,-0.04997999999999991,-0.12596000000000007
-0.61709,-0.05315000000000003,-0.10248000000000002
-0.5798399999999999,-0.04995000000000005,-0.14947999999999995
-0.53911,-0.026780000000000026,-0.17290000000000005
0.02418000000000009,-0.12334,0.039449999999999985
0.029309999999999947,-0.05885999999999991,-0.07959000000000005
-0.012990000000000057,-0.13476,-0.07032000000000005
0.04431000000000007,-0.08982999999999997,-0.07843
0.04518,-0.04250999999999994,-0.07913000000000003
-0.41662,-0.04920000000000002,-0.30770999999999993
-0.45266,-0.03433000000000008,-0.42365
-0.5009999999999999,-0.03356999999999999,-0.41067
-0.4077299999999999,-0.035600000000000076,-0.42025999999999997
-0.47561,-0.03976000000000002,-0.45528
-0.22485,-0.01466999999999996,-0.02809000000000006
-0.1469999999999999,-0.03160000000000007,-0.016629999999999923
-0.11547999999999992,-0.014460000000000028,-0.033519999999999994
-0.23606000000000005,-0.03256999999999999,-0.016770000000000063
-0.23113000000000006,-0.06164000000000003,-0.04686999999999997
-0.021580000000000044,-0.28357,-0.012689999999999979
-0.03381999999999996,-0.25712999999999997,-0.03315000000000001
-0.024090000000000056,-0.11134999999999995,-0.01695000000000002
-0.031059999999999977,-0.11868000000000001,-0.01527999999999996
-0.027680000000000038,-0.14467999999999992,-0.024869999999999948
-0.6322,-0.08801999999999999,-0.23251
-0.57792,-0.08121,-0.2070700000000001
-0.54049,-0.05005999999999999,-0.18721
-0.63945,-0.08309,-0.20406999999999997
-0.5861000000000001,-0.07481000000000004,-0.20128000000000001
-0.011699999999999933,-0.05636000000000008,-0.01593
-0.003750000000000031,-0.07343,-0.016210000000000058
-0.008179999999999965,-0.07831999999999995,-0.05724999999999991
-0.007269999999999999,-0.09245999999999999,-0.036579999999999946
0.006290000000000018,-0.07030999999999998,-0.040429999999999966
-0.23826000000000003,-0.0349600000000001,-0.05302000000000007
-0.24378,-0.036819999999999964,-0.07186999999999999
-0.26098999999999994,-0.036109999999999975,-0.03632999999999997
-0.22422999999999993,-0.03925999999999996,-0.044989999999999974
-0.76422,-0.01472999999999991,-0.044910000000000005
-0.34551,-0.020320000000000005,-0.015199999999999991
-0.28605,-0.027310000000000056,-0.008589999999999987
-0.32685,-0.04635,-0.015649999999999942
-0.28159,-0.017220000000000013,-0.004830000000000001
-0.30089,-0.052020000000000066,0.0038399999999999546
-0.08333000000000002,-0.01436000000000004,-0.11161999999999994
-0.22515999999999992,-0.023740000000000094,-0.12834999999999996
-0.10356999999999994,-0.02411999999999992,-0.10314000000000001
-0.07157999999999998,-0.015819999999999945,-0.12648000000000004
-0.25665000000000004,-0.010340000000000016,-0.12350000000000005
-0.03586999999999996,-0.10389000000000004,-0.040080000000000005
-0.03573000000000004,-0.0938,-0.05027999999999999
-0.032930000000000015,-0.08582999999999996,-0.062080000000000024
-0.03554999999999997,-0.12056,-0.05781999999999998
-0.02613999999999994,-0.11631000000000002,-0.03027000000000002
-0.0046599999999999975,-0.01678999999999997,-0.05742000000000003
-0.16397000000000006,-0.01632,-0.05396000000000001
