High attention,Random,Matched random
-0.31400000000000006,-0.1955,-0.0046800000000000175
-0.30296,-0.15727000000000002,-0.008769999999999945
-0.2355799999999999,-0.13839,-0.006689999999999974
-0.5932900000000001,-0.21507999999999994,-0.21772000000000002
-0.15497000000000005,-0.18777999999999995,-0.03280000000000005
-0.6293,-0.14257000000000009,-0.18315000000000003
-0.57514,-0.29857,-0.26927
-0.5644899999999999,-0.15652999999999995,-0.2662399999999999
-0.59475,-0.12708000000000008,-0.16127999999999998
-0.5394999999999999,-0.11456,-0.22588999999999992
-0.40190000000000003,-0.07553999999999994,-0.12722
-0.49011000000000005,-0.07282,-0.11567000000000005
-0.45031000000000004,-0.07740000000000002,-0.15256999999999998
-0.43677000000000005,-0.07299999999999995,-0.11959000000000009
-0.39307,-0.06655999999999995,-0.11785999999999996
-0.35917,-0.42717000000000005,-0.06918999999999997
-0.38193,-0.38412999999999997,-0.04957999999999996
-0.46015999999999996,-0.39808,-0.05009999999999992
-0.5156799999999999,-0.40254,-0.07485999999999993
-0.3600500000000001,-0.41056000000000004,-0.05376000000000003
-0.52769,-0.46543,-0.39189000000000007
-0.53112,-0.46253,-0.32433
-0.52057,-0.46648,-0.31279999999999997
-0.50053,-0.46807999999999994,-0.29663000000000006
-0.49934999999999996,-0.44933999999999996,-0.32821
-0.20083000000000006,-0.31414,-0.12705
-0.09040000000000004,-0.12852999999999992,-0.0826
-0.08733999999999997,-0.22052000000000005,-0.11324999999999996
-0.12532999999999994,-0.15959,-0.10785999999999996
-0.08804000000000001,-0.2863,-0.09242000000000006
-0.37306000000000006,-0.06516,-0.09997
-0.53463,-0.06818000000000002,-0.043440000000000034
-0.42044000000000004,-0.07669000000000004,-0.04261000000000004
-0.40864999999999996,-0.06659000000000004,-0.13854999999999995
-0.47108000000000005,-0.07013000000000003,-0.1400800000000001
-0.51331,-0.17371999999999999,-0.12082000000000004
-0.5468500000000001,-0.16715999999999998,-0.1406900000000001
-0.58507,-0.20575,-0.13887000000000005
-0.5613999999999999,-0.19832000000000005,-0.13632
-0.6828700000000001,-0.20420000000000005,-0.09088000000000007
-0.7356499999999999,0.03952,-0.12335999999999991
-0.66959,0.012209999999999943,-0.11343000000000003
-0.67563,0.0700400000000001,-0.10597000000000001
-0.8139399999999999,-0.01797000000000004,-0.15442
-0.74962,0.09682999999999997,-0.13822999999999996
-0.02463000000000004,-0.10885,-0.014639999999999986
0.0018899999999999473,-0.12021000000000004,-0.007539999999999991
-0.004789999999999961,-0.052790000000000004,-0.022519999999999984
-0.006290000000000018,-0.03078000000000003,-0.02870000000000006
0.00046000000000001595,-0.05559999999999998,-0.014959999999999973
-0.24496000000000007,-0.05789,-0.25151999999999997
-0.21250000000000002,-0.10683999999999994,-0.26908999999999994
-0.22709999999999997,-0.07404999999999995,-0.21765999999999996
-0.23970000000000002,-0.050529999999999964,-0.19972
-0.30873000000000006,-0.07284999999999997,-0.25096000000000007
-0.56633,-0.43191999999999997,-0.43513
-0.54978,-0.45424999999999993,-0.20603000000000005
-0.52225,-0.41999,-0.11812
-0.52557,-0.44064,-0.09811999999999999
-0.5555,-0.46665999999999996,-0.14898999999999996
-0.65682,-0.04193000000000002,-0.2447499999999999
-0.61657,-0.03858000000000006,-0.26425
-0.55873,-0.050529999999999964,-0.27235
-0.63794,-0.032810000000000006,-0.29438
-0.5422,-0.04798999999999998,-0.25558000000000003
-0.55867,-0.10624,-0.14471999999999996
-0.4877699999999999,-0.060370000000000035,-0.1033599999999999
-0.5766199999999999,-0.06101999999999996,-0.07682
-0.5689199999999999,-0.06123000000000001,-0.08633999999999997
-0.49696,-0.08365,-0.11036000000000001
-0.034030000000000005,-0.22785999999999995,-0.20601000000000003
-0.03805999999999998,-0.31721,-0.20609999999999995
-0.060780000000000056,-0.18028,-0.1959200000000001
-0.14527999999999996,-0.22086000000000006,-0.21009
-0.02632000000000001,-0.23980999999999997,-0.22253
-0.70993,-0.46512999999999993,-0.19208999999999998
-0.7055400000000001,-0.08654000000000006,-0.15485000000000004
-0.6996800000000001,-0.45125999999999994,-0.20096000000000003
-0.67372,-0.45058,-0.19259000000000004
-0.70231,-0.51948,-0.24483
-0.67055,-0.07330999999999999,-0.25936000000000003
-0.6611,-0.07909,-0.17800000000000005
-0.61892,-0.08168999999999993,-0.26421000000000006
-0.6128800000000001,-0.28286999999999995,-0.19417000000000006
-0.6013299999999999,-0.06367,-0.28330999999999995
-0.3614200000000001,-0.05784,-0.08300000000000007
-0.36554,-0.06467,-0.09600999999999993
-0.27393,-0.056400000000000006,-0.08677000000000001
-0.34833000000000003,-0.05579999999999996,-0.07615000000000005
-0.39403,-0.04375999999999991,-0.08787999999999996
-0.67663,-0.10770999999999997,-0.07999
-0.68032,-0.07324000000000008,-0.09316999999999998
-0.63198,-0.09872000000000003,-0.06759000000000004
-0.67845,-0.06330999999999998,-0.06887999999999994
-0.65272,-0.07167000000000001,-0.07869000000000004
-0.21865999999999997,-0.05247000000000002,-0.04196
-0.09732000000000007,-0.05188000000000004,-0.024290000000000034
-0.20753999999999995,-0.01030999999999993,-0.03925000000000001
-0.30408,-0.06051999999999991,-0.03876000000000002
-0.20608000000000004,-0.07727000000000006,-0.03974
-0.04557,-0.11430000000000007,-0.0351800000000001
-0.55489,-0.11587000000000003,-0.03625999999999996
-0.34812999999999994,-0.11381999999999992,-0.032769999999999966
-0.33416999999999997,-0.20902999999999994,-0.03164
-0.025760000000000005,-0.1791600000000001,-0.03481000000000001
-0.61059,-0.054649999999999976,-0.21137000000000006
-0.56105,-0.42221,-0.21033000000000002
-0.63222,-0.40336000000000005,-0.09976999999999991
-0.6046100000000001,-0.39195,-0.20751000000000008
-0.6415299999999999,-0.3911,-0.20271000000000006
-0.34612999999999994,-0.5890299999999999,-0.08963999999999994
-0.29867999999999995,-0.64625,-0.0639599999999999
-0.33653999999999995,-0.67114,-0.11194000000000004
-0.31244000000000005,-0.31077,-0.06978000000000006
-0.33826999999999996,-0.68723,-0.061450000000000005
-0.37256,-0.02167999999999992,-0.20257000000000003
-0.4085,-0.28086999999999995,-0.19028
-0.64028,-0.0008200000000000429,-0.23241
-0.48583000000000004,-0.48315,-0.23126000000000002
-0.6569100000000001,-0.38292000000000004,-0.2247300000000001
-0.68172,-0.043240000000000056,-0.24380999999999997
-0.48223000000000005,-0.09325000000000006,-0.07211000000000001
-0.6741,-0.035129999999999995,-0.06336000000000008
-0.6086499999999999,-0.04433000000000009,-0.24124999999999996
-0.46119,-0.05891000000000002,-0.08299999999999996
-0.6871700000000001,-0.09996000000000005,-0.08818999999999999
-0.7030000000000001,-0.10509000000000002,-0.14685000000000004
-0.6924899999999999,-0.10097999999999996,-0.10070999999999997
-0.6625099999999999,-0.07467000000000001,-0.09170999999999996
-0.6719200000000001,-0.10944999999999994,-0.09928000000000003
-0.16015000000000001,-0.03071999999999997,-0.09891000000000005
-0.6165400000000001,-0.029590000000000005,-0.09818000000000005
-0.65827,-0.02735999999999994,-0.10885
-0.6722899999999999,-0.03161999999999998,-0.08997
-0.17242999999999997,-0.03071999999999997,-0.10875000000000001
-0.48261999999999994,-0.018859999999999988,-0.10625999999999991
-0.33421,-0.013850000000000029,-0.12065999999999999
-0.5476300000000001,-0.01413999999999993,-0.11015000000000008
-0.57358,-0.05308999999999997,-0.14849999999999997
-0.53041,-0.05007000000000006,-0.12502000000000002
-0.41275999999999996,-0.07318999999999998,-0.21999000000000002
-0.25432,-0.07577999999999996,-0.15488000000000002
-0.19258999999999993,-0.11112,-0.17791999999999997
-0.5335,-0.06992999999999994,-0.26588999999999996
-0.43889999999999996,-0.07621,-0.17425000000000002
-0.02324000000000004,-0.55971,-0.03167000000000009
-0.0413,-0.49987999999999994,-0.028919999999999946
-0.022760000000000002,-0.47478,-0.02527999999999997
-0.016579999999999928,-0.46629,-0.01415999999999995
-0.015759999999999996,-0.5016400000000001,-0.009560000000000013
-0.67079,-0.09251999999999994,-0.22976000000000008
-0.66885,-0.10644000000000009,-0.31796
-0.6099000000000001,-0.12278999999999995,-0.31142000000000003
-0.67964,-0.08360000000000001,-0.30996
-0.7432,-0.10943999999999998,-0.28755
-0.50745,-0.12248000000000003,-0.08916999999999997
-0.5893200000000001,-0.11601000000000006,-0.08323000000000003
-0.55828,-0.51298,-0.07345999999999997
-0.5684899999999999,-0.11690999999999996,-0.13359999999999994
-0.42591999999999997,-0.13166999999999995,-0.08438999999999997
-0.030200000000000005,-0.50282,0.02285999999999999
-0.04549000000000003,-0.49410999999999994,0.0024199999999999777
-0.032179999999999986,-0.49153,0.012419999999999987
-0.16730999999999996,-0.49299999999999994,-0.010499999999999954
-0.04237000000000002,-0.6130599999999999,-0.008660000000000001
-0.43326,-0.01317999999999997,-0.07121
-0.43313999999999997,-0.02800999999999998,-0.07591999999999999
-0.42506,-0.013090000000000046,-0.04259999999999997
-0.42800999999999995,-0.009059999999999957,-0.03584999999999994
-0.4315,-0.005519999999999969,-0.048250000000000015
-0.04035999999999995,-0.21484000000000003,-0.03917999999999999
-0.021340000000000026,-0.15903,-0.03778999999999999
-0.03537000000000001,-0.57505,-0.039100000000000024
-0.03310000000000002,-0.57329,-0.03312999999999999
-0.030329999999999968,-0.63336,-0.04018999999999995
-0.45729999999999993,-0.012749999999999928,-0.1135799999999999
-0.30686,-0.00988,-0.09631
-0.47378,-0.014419999999999988,-0.09863999999999995
-0.42442,-0.00988,-0.08028999999999997
-0.45025000000000004,-0.02588999999999997,-0.10626999999999998
-0.58737,-0.13558000000000003,-0.027919999999999945
-0.59182,-0.5647599999999999,-0.02678999999999998
-0.56352,-0.14841000000000004,-0.07939000000000007
-0.60943,-0.12436999999999998,-0.048370000000000024
-0.5751299999999999,-0.12149999999999994,-0.07914999999999994
-0.40206000000000003,-0.15583000000000002,-0.44861
-0.47015999999999997,-0.11813000000000007,-0.5644899999999999
-0.31981000000000004,-0.14352999999999994,-0.52596
-0.48017,-0.11914999999999998,-0.55946
-0.32262,-0.07887,-0.38658
0.00867999999999991,-0.64282,-0.13182000000000005
0.008589999999999987,-0.47724999999999995,-0.07455
0.0022300000000000653,-0.46692000000000006,-0.008340000000000014
0.03528999999999993,-0.56831,-0.030240000000000045
0.01812999999999998,-0.5739099999999999,-0.054240000000000066
-0.46632000000000007,-0.14037,-0.08752000000000004
-0.3779799999999999,-0.17224000000000006,-0.07390999999999992
-0.19129000000000007,-0.11777000000000004,-0.14387000000000005
-0.41523000000000004,-0.13114000000000003,-0.07603000000000004
-0.29206,-0.17687000000000008,-0.06499999999999995
-0.41091,-0.48084,-0.11195999999999995
-0.4057900000000001,-0.45737000000000005,-0.1199
-0.43203,-0.5172399999999999,-0.13635000000000008
-0.39122999999999997,-0.46806,-0.09935000000000005
-0.4163,-0.5643499999999999,-0.10913000000000006
-0.59571,-0.13129999999999997,-0.08689999999999998
-0.50935,-0.29194,-0.07689999999999997
-0.5350300000000001,-0.17010000000000003,-0.14096000000000009
-0.5692200000000001,-0.26307,-0.14532
-0.54043,-0.21693000000000007,-0.14732
-0.7405700000000001,-0.042200000000000015,-0.01809000000000005
-0.7378,-0.03826000000000007,-0.01541999999999999
-0.60992,-0.02864,-0.016249999999999987
-0.73973,-0.03277000000000008,-0.016220000000000012
-0.74685,-0.03550000000000009,-0.018199999999999994
-0.35607,-0.020160000000000067,-0.15878000000000003
-0.48368,-0.020199999999999996,-0.16410999999999998
-0.22943999999999998,-0.03515999999999997,-0.16374999999999995
-0.27098999999999995,-0.008690000000000087,-0.1483
-0.25139999999999996,-0.03201999999999994,-0.08564000000000005
-0.66657,-0.44271000000000005,-0.017920000000000047
-0.6486000000000001,-0.31636,-0.021140000000000048
-0.64561,-0.40918,-0.025799999999999934
-0.7062900000000001,-0.34414999999999996,-0.06140000000000001
-0.65361,-0.43609,-0.01688999999999996
-0.5452600000000001,-0.61098,-0.09281000000000006
-0.5849799999999999,-0.58118,-0.07482
-0.6092500000000001,-0.54294,-0.0916800000000001
-0.57789,-0.6348499999999999,-0.07715000000000005
-0.55545,-0.5664199999999999,-0.08187
-0.65153,-0.11970999999999998,-0.007809999999999984
-0.5230699999999999,-0.023700000000000054,0.00043999999999999595
-0.37122,-0.11117999999999995,0.004709999999999992
-0.39235,-0.10050000000000003,-0.019560000000000022
-0.6865999999999999,-0.04019000000000006,-0.014249999999999985
-0.16605999999999999,-0.10216999999999998,-0.12236000000000002
-0.28181,-0.12125999999999992,-0.09584999999999999
-0.22075,-0.1089199999999999,-0.02179999999999993
-0.09840000000000004,-0.12069000000000007,-0.0629900000000001
-0.18210000000000004,-0.37312999999999996,-0.013560000000000016
-0.49009,-0.03615999999999997,-0.06861000000000006
-0.59571,-0.017730000000000024,-0.21787999999999996
-0.5322800000000001,-0.031299999999999994,-0.0706
-0.72255,-0.015589999999999993,-0.05349000000000004
-0.53988,-0.03229000000000004,-0.04801
-0.17188000000000003,-0.038329999999999975,-0.02146999999999999
-0.59067,-0.04279999999999995,-0.04352
-0.5079,-0.257,-0.030449999999999977
-0.62592,-0.10868,-0.033580000000000054
-0.6175,-0.45286000000000004,-0.026860000000000106
-0.5440499999999999,-0.22955000000000003,-0.26113
-0.5580799999999999,-0.15066999999999997,-0.23833000000000004
-0.46364,-0.24808999999999992,-0.08767000000000003
-0.5349200000000001,-0.22665000000000002,-0.14578000000000002
-0.48105000000000003,-0.15098,-0.08577000000000001
-0.58728,-0.02018999999999993,-0.19706999999999997
-0.60792,-0.10643000000000002,-0.21103000000000005
-0.61331,-0.08532000000000006,-0.19701999999999997
-0.62185,-0.09616000000000002,-0.14424000000000003
-0.62098,-0.029120000000000035,-0.24076999999999993
-0.60076,-0.017249999999999988,-0.19787
-0.55587,-0.012920000000000043,-0.32016
-0.6127400000000001,-0.014639999999999986,-0.35068999999999995
-0.58781,-0.01307999999999998,-0.24807
-0.64412,-0.012050000000000005,-0.32475999999999994
-0.52877,-0.02019000000000004,-0.19572
-0.3678,-0.024739999999999984,-0.1840900000000001
-0.15716000000000008,-0.01316000000000006,-0.16194000000000008
-0.40964999999999996,-0.04574999999999996,-0.17143999999999993
-0.54559,0.006329999999999947,-0.18805000000000005
-0.4532299999999999,-0.059430000000000094,-0.08050000000000002
-0.44034000000000006,-0.031139999999999946,-0.08276000000000006
-0.23801000000000005,-0.023380000000000067,-0.07366000000000006
-0.23769000000000007,-0.03172000000000008,-0.07479000000000002
-0.44799,-0.05062999999999995,-0.06646000000000007
-0.62642,-0.48138000000000003,-0.23875000000000002
-0.63613,-0.12850000000000006,-0.2723
-0.63656,-0.12235000000000007,-0.26903999999999995
-0.65815,-0.12873,-0.26586
-0.6173299999999999,-0.08964000000000005,-0.27079
-0.057699999999999974,-0.6147,-0.022279999999999966
-0.31762999999999997,-0.5180499999999999,-0.008179999999999965
-0.2053299999999999,-0.58518,0.0019000000000000128
-0.21109,-0.53258,-0.008319999999999994
-0.14037999999999995,-0.6151,0.0031200000000000117
-0.03772000000000009,-0.017939999999999956,-0.017390000000000017
-0.027650000000000063,-0.019359999999999933,-0.012190000000000034
-0.026919999999999944,-0.024579999999999935,-0.009629999999999916
-0.62085,-0.018080000000000096,-0.0020200000000000218
-0.65879,-0.022280000000000078,-0.021199999999999997
-0.007140000000000035,-0.3045899999999999,-0.003750000000000031
-0.012359999999999927,-0.29203,-0.0045799999999999175
-0.04196999999999995,-0.40841,-0.002889999999999948
-0.02846000000000004,-0.26800999999999997,-0.005220000000000002
-0.11212,-0.18742000000000003,-0.0009599999999999609
-0.49063999999999997,-0.009279999999999955,-0.46753999999999996
-0.50225,-0.019379999999999953,-0.47393
-0.57654,-0.02205999999999997,-0.49543
-0.48075999999999997,-0.020320000000000005,-0.4670599999999999
-0.46809,-0.021770000000000067,-0.46071
-0.33738,-0.08836999999999995,-0.19202000000000008
-0.70011,-0.10067999999999999,-0.15644000000000002
-0.71199,-0.005190000000000028,-0.14161999999999997
-0.69305,-0.09189999999999998,-0.16191
-0.31928,-0.09491000000000005,-0.08230000000000004
-0.56703,-0.07107999999999992,-0.08640000000000003
-0.25788,-0.06355999999999995,-0.018000000000000016
-0.21443,-0.07455999999999996,-0.0047599999999999865
-0.19172,-0.03726000000000007,-0.013959999999999972
-0.5381,-0.06722000000000006,-0.005179999999999962
-0.041020000000000056,-0.5549200000000001,-0.16504000000000008
-0.08191000000000004,-0.20561999999999991,-0.19993000000000005
-0.05264000000000002,-0.41817000000000004,-0.11348999999999998
-0.04229000000000005,-0.19371000000000005,-0.15283999999999998
-0.05337000000000003,-0.21611999999999998,-0.17979
-0.7323999999999999,-0.21697,-0.011329999999999951
-0.72182,-0.20208000000000004,-0.011859999999999982
-0.69685,-0.19562000000000002,-0.019199999999999995
-0.73088,-0.20318999999999998,-0.015110000000000068
-0.73478,-0.23963999999999996,-0.017039999999999944
-0.49434999999999996,-0.46221000000000007,-0.16310999999999998
-0.57143,-0.46742999999999996,-0.14117000000000002
-0.25983999999999996,-0.47148999999999996,-0.18538999999999994
-0.28288,-0.47828,-0.17815999999999999
-0.30787999999999993,-0.48597999999999997,-0.10380999999999996
-0.11540000000000006,-0.12746000000000002,-0.18217000000000005
-0.68565,-0.26017999999999997,-0.21453
-0.24517,-0.23093000000000008,-0.18367
-0.04565999999999992,-0.14715,-0.17967999999999995
-0.10419999999999996,-0.12990000000000002,-0.21014
-0.31714,-0.00032999999999994145,-0.017979999999999996
-0.18813000000000002,-0.66774,-0.023619999999999974
-0.25642,-0.54325,-0.022739999999999982
-0.25098,-0.7356,-0.020009999999999972
-0.23205999999999993,-0.010050000000000003,-0.021649999999999947
-0.51961,-0.005390000000000006,-0.18622000000000005
-0.51464,-0.00492999999999999,-0.5291299999999999
-0.52,-0.0023299999999999432,-0.32814
-0.5025499999999999,-0.005709999999999993,-0.48683999999999994
-0.47789000000000004,-0.004210000000000047,-0.47237
-0.08449000000000007,-0.66275,-0.04956000000000005
-0.0996499999999999,-0.52589,-0.0470799999999999
-0.09323999999999999,-0.37410999999999994,-0.05837999999999999
-0.08701000000000003,-0.59643,-0.05160000000000009
-0.10792999999999997,-0.52028,-0.05196999999999996
-0.39269,-0.02371000000000001,-0.07955000000000001
-0.39481,-0.057559999999999945,-0.09872000000000003
-0.36014,-0.019889999999999963,-0.08457999999999999
-0.4511200000000001,-0.08580999999999994,-0.08906999999999998
-0.33165,-0.027150000000000007,-0.08284000000000002
-0.42200000000000004,0.005410000000000026,-0.07666000000000006
-0.39965000000000006,0.0050200000000000244,-0.09615000000000007
-0.46792999999999996,0.007770000000000055,-0.09062999999999999
-0.43923999999999996,-0.010360000000000036,-0.08489999999999998
-0.40737,-0.06449000000000005,-0.09423999999999999
-0.6246700000000001,-0.05947000000000002,-0.18811
-0.66671,-0.049919999999999964,-0.18767
-0.6497599999999999,-0.06185000000000007,-0.1950099999999999
-0.61801,-0.044540000000000024,-0.17867
-0.63188,-0.04469999999999996,-0.18286999999999998
-0.5325,-0.29852,-0.13724000000000003
-0.5585600000000001,-0.32045,-0.15306000000000008
-0.47373,-0.36075,-0.14790000000000003
-0.49988999999999995,-0.2797900000000001,-0.11215999999999993
-0.49193999999999993,-0.28062,-0.14350999999999992
-0.39940000000000003,-0.005970000000000031,-0.06096999999999997
-0.38402,-0.0022600000000000398,-0.05359999999999998
-0.39392,-0.003290000000000015,-0.06167
-0.40445,-0.008029999999999982,-0.06830999999999998
-0.37412999999999996,-0.01144999999999996,-0.04730999999999996
-0.51837,-0.06956000000000007,-0.14198999999999995
-0.5465200000000001,-0.06407000000000007,-0.1374200000000001
-0.56132,-0.027079999999999993,-0.16054000000000002
-0.5074,-0.058580000000000076,-0.128
-0.50516,-0.02751999999999999,-0.1501
-0.39719000000000004,-0.25531000000000004,-0.04390000000000005
-0.50037,-0.29854,-0.04147999999999996
-0.4865999999999999,-0.32669000000000004,-0.04013
-0.5013000000000001,-0.3198,-0.044560000000000044
-0.48612,-0.3625900000000001,-0.04752000000000001
-0.52062,-0.03212999999999999,-0.08610999999999991
-0.5366799999999999,-0.03833999999999993,-0.07685999999999993
-0.45365,-0.014490000000000003,-0.06903999999999999
-0.53427,-0.038020000000000054,-0.08438999999999997
-0.53179,-0.023880000000000012,-0.08549999999999991
-0.6171300000000001,-0.16306999999999994,-0.23809000000000002
-0.65413,-0.15486,-0.57422
-0.56829,-0.09699000000000002,-0.5630200000000001
-0.62761,-0.13779999999999992,-0.40430000000000005
-0.59029,-0.14731000000000005,-0.57664
-0.07550000000000001,-0.2217,-0.030980000000000008
-0.17067,-0.25868,-0.02969999999999995
-0.0796,-0.21379000000000004,-0.026210000000000067
-0.08190000000000008,-0.25295999999999996,-0.022110000000000074
-0.06509999999999994,-0.20353,-0.02971999999999997
-0.04634000000000005,-0.02948000000000006,-0.009199999999999986
-0.02681,-0.34014,-0.031180000000000097
-0.023519999999999985,-0.09711999999999998,-0.01607000000000003
-0.3507199999999999,-0.022989999999999955,-0.03772999999999993
-0.02648000000000006,-0.06994,-0.13328000000000007
-0.49256,-0.21914,-0.03228999999999993
-0.50464,-0.18523999999999996,-0.029920000000000058
-0.132,-0.25773,-0.03156000000000003
-0.43789,-0.34359000000000006,-0.07477999999999996
-0.47373,-0.23736999999999997,-0.030510000000000037
