High attention,Random,Matched random
-0.49497,-0.70665,-0.27565000000000006
-0.45665,-0.76643,-0.33425000000000005
-0.49255,-0.68198,-0.38636000000000004
-0.45875,-0.7842,-0.14174999999999993
-0.42849,-0.7075899999999999,0.0047000000000000375
-0.75528,-0.32383000000000006,-0.06098999999999999
-0.72955,-0.34046999999999994,-0.07011
-0.76691,-0.18052,-0.07316
-0.78915,-0.14127,-0.24580000000000002
-0.79605,-0.30135,-0.0794800000000001
-0.74974,-0.6326999999999999,-0.7558
-0.73685,-0.13898999999999995,-0.73169
-0.7341500000000001,-0.14539999999999997,-0.751
-0.74942,-0.71997,-0.69521
-0.7464900000000001,-0.17899999999999994,-0.6752100000000001
-0.47979,-0.43617000000000006,-0.30901999999999996
-0.5730900000000001,-0.3938499999999999,-0.26415
-0.53128,-0.47889,-0.4966
-0.5157799999999999,-0.39003,-0.2651199999999999
-0.5430600000000001,-0.40183,-0.17039000000000004
-0.49477,-0.48297,-0.18369999999999997
-0.5411600000000001,-0.5188699999999999,-0.15588000000000002
-0.4841500000000001,-0.49921,-0.17659000000000002
-0.5041899999999999,-0.5121499999999999,-0.19963999999999993
-0.49058000000000007,-0.51011,-0.21427000000000007
-0.57135,-0.45568000000000003,-0.20801999999999998
-0.6055999999999999,-0.30967999999999996,-0.28015999999999996
-0.53717,-0.39507000000000003,-0.21096000000000004
-0.5548500000000001,-0.47781999999999997,-0.21657000000000004
-0.50102,-0.49851999999999996,-0.18423
-0.48596,-0.42864,-0.09803000000000006
-0.46068000000000003,-0.61063,-0.09022000000000008
-0.48600000000000004,-0.43559000000000003,-0.09293000000000007
-0.45879,-0.68,-0.06689
-0.41043,-0.58429,-0.01763999999999999
-0.72248,-0.2919799999999999,-0.21551999999999993
-0.51882,-0.2556799999999999,-0.2319
-0.6571800000000001,-0.30847,-0.20630000000000004
-0.63527,-0.3100900000000001,-0.19784000000000002
-0.6690400000000001,-0.27857,-0.19174000000000002
-0.47009999999999996,-0.33853,-0.11853999999999998
-0.58743,-0.30979,-0.15513999999999994
-0.45403,-0.31736999999999993,-0.14739999999999998
-0.59545,-0.34851,-0.12435000000000007
-0.46129,-0.32572,-0.08511000000000002
-0.63032,-0.15219000000000005,-0.4093399999999999
-0.66968,-0.21989999999999998,-0.39147
-0.60892,-0.18531999999999993,-0.45625000000000004
-0.6363099999999999,-0.15810000000000002,-0.57127
-0.61694,-0.13817999999999997,-0.60452
-0.24403000000000008,-0.12529,-0.1553
-0.23536,-0.19928999999999997,-0.14846000000000004
-0.19376000000000004,-0.13180999999999998,-0.16271999999999998
-0.30078000000000005,-0.13222,-0.16112000000000004
-0.24111000000000005,-0.15688000000000002,-0.16122000000000003
-0.53504,-0.43069,-0.011220000000000008
-0.6077299999999999,-0.6258699999999999,-0.03742999999999996
-0.03656999999999999,-0.48112999999999995,-0.04650999999999994
-0.3042,-0.6162099999999999,-0.0016300000000000203
-0.75392,-0.38766,-0.039100000000000024
-0.67963,-0.06941000000000008,-0.15224000000000004
-0.5953600000000001,-0.06328,-0.1291
-0.5323899999999999,-0.05581999999999998,-0.18277999999999994
-0.5608000000000001,-0.017870000000000053,-0.17465000000000008
-0.58342,-0.053690000000000015,-0.20223999999999998
-0.22048999999999996,-0.30965,-0.05123999999999995
-0.16198,-0.14138000000000006,-0.048109999999999986
-0.22326999999999997,-0.37929999999999997,-0.05340999999999996
-0.25639,-0.17672999999999994,-0.05950000000000011
-0.18096,-0.23121999999999998,-0.033909999999999996
-0.6682299999999999,-0.21185999999999994,-0.07350000000000001
-0.67943,-0.20257000000000003,-0.12106000000000006
-0.6461,-0.19182,-0.10014
-0.7052,-0.21482,-0.11892000000000003
-0.71166,-0.2108899999999999,-0.11514999999999997
-0.11507,-0.6192,-0.19291999999999998
-0.09219999999999995,-0.6473200000000001,-0.20930000000000004
-0.13416000000000006,-0.57605,-0.30718
-0.10336000000000001,-0.6253299999999999,-0.2184299999999999
-0.19427000000000005,-0.60623,-0.44256000000000006
-0.47053999999999996,-0.58374,-0.08672000000000002
-0.49667,-0.5804100000000001,-0.08045000000000002
-0.46328,-0.56579,-0.07377
-0.5123800000000001,-0.60442,-0.19352000000000003
-0.46340000000000003,-0.57107,-0.08911000000000002
-0.60019,-0.10575000000000001,-0.10246999999999995
-0.61836,-0.33476000000000006,-0.08884999999999998
-0.6908099999999999,-0.30022000000000004,-0.12314000000000003
-0.61998,-0.33431999999999995,-0.10796000000000006
-0.5979700000000001,-0.33085,-0.18262
-0.56449,-0.08283999999999991,-0.17039000000000004
-0.37426000000000004,-0.10101000000000004,-0.07486000000000004
-0.54777,-0.25033000000000005,-0.06820999999999999
-0.49254,-0.23361999999999994,-0.06398999999999999
-0.4251100000000001,-0.27968000000000004,-0.08107000000000009
-0.04152,-0.07240000000000002,-0.15981999999999996
-0.035760000000000014,-0.1027300000000001,-0.15853000000000006
-0.02566999999999997,-0.08540999999999999,-0.17383000000000004
-0.03318999999999994,-0.12318999999999991,-0.15947999999999996
-0.025760000000000005,-0.08452000000000004,-0.15397000000000005
-0.68837,-0.11953000000000003,-0.5027200000000001
-0.50936,-0.11258000000000001,-0.15452
-0.44759,-0.11381999999999992,-0.32948
-0.49812999999999996,-0.14095000000000002,-0.35973
-0.52424,-0.12752000000000008,-0.40137999999999996
-0.40406,-0.39230999999999994,-0.018339999999999912
-0.30774,-0.38910999999999996,-0.03681000000000001
-0.40045,-0.12202999999999997,-0.03542000000000001
-0.40912000000000004,-0.13035000000000008,-0.02131000000000005
-0.4040499999999999,-0.0746,-0.02407999999999999
-0.53355,-0.64215,-0.5617300000000001
-0.51505,-0.6848299999999999,-0.49424999999999997
-0.58463,-0.3665299999999999,-0.31466000000000005
-0.52007,-0.41503999999999996,-0.54836
-0.46116,-0.46502,-0.39393
-0.09472999999999998,-0.40264999999999995,-0.020589999999999997
-0.26167000000000007,-0.33324,-0.036900000000000044
-0.6969,-0.26681,-0.03291999999999995
-0.77484,-0.32204,-0.03400000000000003
-0.42608999999999997,-0.38419000000000003,-0.013949999999999907
-0.59899,-0.18072,-0.07623000000000002
-0.57231,-0.38556,-0.06757000000000002
-0.45481,-0.19500000000000006,-0.03847999999999996
-0.46922,-0.44856000000000007,-0.19290000000000007
-0.56582,-0.26732,-0.04827999999999999
-0.61465,-0.07006999999999997,-0.02090000000000003
-0.6003000000000001,-0.11658999999999997,-0.020259999999999945
-0.65837,-0.10061999999999993,-0.02171999999999996
-0.58178,-0.09402999999999995,-0.026569999999999983
-0.56942,-0.10127999999999993,-0.027220000000000022
0.007809999999999984,-0.59566,-0.010539999999999994
0.009099999999999997,-0.6027800000000001,-0.008539999999999992
0.0008400000000000629,-0.61617,-0.07138999999999995
7.999999999996898e-05,-0.6859999999999999,-0.07599
-0.0006800000000000139,-0.5947199999999999,-0.08233999999999997
-0.49144,-0.04366000000000003,-0.051019999999999954
-0.36744,-0.2526900000000001,-0.05979000000000001
-0.5433899999999999,-0.018449999999999966,-0.07065999999999995
-0.45520000000000005,-0.29318999999999995,-0.06530000000000002
-0.48172000000000004,-0.06668000000000007,-0.07664000000000004
-0.67519,-0.37178999999999995,-0.07786000000000004
-0.57472,-0.4015399999999999,-0.08635000000000004
-0.59358,-0.48314999999999997,-0.10507
-0.743,-0.54955,-0.14144999999999996
-0.75037,-0.47880999999999996,-0.1622800000000001
-0.70689,-0.78886,-0.19762999999999997
-0.72774,-0.7401,-0.20193000000000005
-0.65183,-0.75808,-0.18235999999999997
-0.67808,-0.46710999999999997,-0.19503000000000004
-0.7067399999999999,-0.49692000000000003,-0.19894999999999996
-0.72372,-0.11009999999999998,-0.12380999999999998
-0.6833400000000001,-0.26122,-0.13218000000000008
-0.6457299999999999,-0.13127999999999995,-0.18377999999999994
-0.6585099999999999,-0.39113,-0.17811999999999995
-0.71301,-0.24114999999999998,-0.13340000000000007
-0.64664,-0.5263,-0.26391
-0.5948800000000001,-0.37216000000000005,-0.24597000000000002
-0.70094,-0.46251000000000003,-0.26248000000000005
-0.65008,-0.44295999999999996,-0.25012
-0.68775,-0.41313999999999995,-0.24690999999999996
-0.15978000000000003,-0.53827,-0.054950000000000054
-0.13562000000000007,-0.57151,-0.035070000000000046
-0.16264,-0.5509000000000001,-0.09584999999999999
-0.13942,-0.5490999999999999,-0.06879000000000002
-0.15034999999999998,-0.57136,-0.03128999999999993
-0.66882,-0.33148,-0.2983800000000001
-0.66221,-0.3227300000000001,-0.09480999999999995
-0.67683,-0.60096,-0.35308000000000006
-0.67237,-0.30923,-0.17398000000000002
